Year,Month,Cases_Monthly,Date,YearMonth,MoM,YoY,MA_3,MA_12,STD_12,Seasonality_vs_MonthAvg,Is_Peak_Top10pct,Cases_Index_2018Start,Is_Partial_Year
2019,2,2419.0,2019-02-01,2019-02,-0.3145366959478606,0.07320319432120681,3020.6666666666665,2899.25,365.823634854532,0.2612095933263816,0,79.70345963756178,0
2019,3,3967.0,2019-03-01,2019-03,0.6399338569656883,0.3271997323519571,3305.0,2980.75,479.0543952792458,0.4616128586561046,1,130.70840197693573,0
2019,4,3540.0,2019-04-01,2019-04,-0.10763801361230152,0.21315969842357774,3308.6666666666665,3032.5833333333335,504.6156878499148,0.4081145584725536,1,116.63920922570017,0
2019,5,3329.0,2019-05-01,2019-05,-0.059604519774011266,0.28038461538461545,3612.0,3093.3333333333335,491.51478907433517,0.4021269874697273,1,109.68698517298188,0
2019,6,3044.0,2019-06-01,2019-06,-0.08561129468308804,0.19748229740361922,3304.3333333333335,3135.1666666666665,460.72271947715427,0.3283875190922976,0,100.29654036243822,0
2019,7,3132.0,2019-07-01,2019-07,0.028909329829172048,0.04087736789631102,3168.3333333333335,3145.4166666666665,459.0257386986912,0.3255139056831924,0,103.19604612850083,0
2019,8,2885.0,2019-08-01,2019-08,-0.07886334610472545,-0.0017301038062284002,3020.3333333333335,3145.0,459.28086079316375,0.2782454585733274,0,95.05766062602964,0
2019,9,2482.0,2019-09-01,2019-09,-0.13968804159445403,-0.05949223190602504,2833.0,3131.9166666666665,476.9035462483402,0.2819301999557293,0,81.77924217462933,0
2019,10,2674.0,2019-10-01,2019-10,0.0773569701853345,0.026487523992322348,2680.3333333333335,3137.6666666666665,470.34384585464034,0.3765259596999557,0,88.10543657331137,0
2019,11,3214.0,2019-11-01,2019-11,0.20194465220643232,-0.09132032796154932,2790.0,3110.75,454.3849239256397,0.28091550899567297,1,105.89785831960461,0
2019,12,3452.0,2019-12-01,2019-12,0.07405102675793396,0.10854206807964029,3113.3333333333335,3138.9166666666665,464.9577611966167,0.38761915700011484,1,113.73970345963755,0
2020,1,2797.0,2020-01-01,2020-01,-0.1897450753186558,-0.2074241994899405,3154.3333333333335,3077.9166666666665,457.0789584332498,0.15274844160527534,0,92.15815485996706,0
2020,2,2173.0,2020-02-01,2020-02,-0.2230961744726493,-0.10169491525423724,2807.3333333333335,3057.4166666666665,493.39205475663056,0.1329509906152242,0,71.59802306425041,0
2020,3,2651.0,2020-03-01,2020-03,0.21997238840312927,-0.3317368288379128,2540.3333333333335,2947.75,412.4543225398641,-0.023257956063187923,0,87.34761120263592,0
2020,4,2711.0,2020-04-01,2020-04,0.022632968691060018,-0.23418079096045197,2511.6666666666665,2878.6666666666665,371.6455626567123,0.07836117740652337,0,89.32454695222405,0
2020,5,2969.0,2020-05-01,2020-05,0.09516783474732571,-0.10814058275758487,2777.0,2848.6666666666665,345.60680057843274,0.250500157944614,0,97.82537067545304,0
2020,6,2749.0,2020-06-01,2020-06,-0.07409902324014817,-0.09691195795006569,2809.6666666666665,2824.0833333333335,340.9093343433474,0.19965088370063278,0,90.57660626029654,0
2020,7,2676.0,2020-07-01,2020-07,-0.02655511094943619,-0.14559386973180077,2798.0,2786.0833333333335,328.66104626702156,0.13252720677146312,0,88.17133443163098,0
2020,8,2288.0,2020-08-01,2020-08,-0.1449925261584455,-0.20693240901213172,2571.0,2736.3333333333335,356.3451680433996,0.013735046521931693,0,75.38714991762767,0
2020,9,2577.0,2020-09-01,2020-09,0.12631118881118875,0.038275584206285185,2513.6666666666665,2744.25,351.19927650577773,0.3309968272707149,0,84.90939044481054,0
2020,10,1893.0,2020-10-01,2020-10,-0.26542491268917345,-0.2920718025430067,2252.6666666666665,2679.1666666666665,429.12296041055066,-0.025518458596852533,0,62.37232289950576,0
2020,11,3014.0,2020-11-01,2020-11,0.5921817221341785,-0.062227753578095846,2494.6666666666665,2662.5,409.91628857165887,0.20120701434752886,0,99.30807248764415,0
2020,12,3183.0,2020-12-01,2020-12,0.056071665560716744,-0.07792584009269987,2696.6666666666665,2640.0833333333335,368.03222643807914,0.27948776846215684,0,104.87644151565074,0
